title,size_mib,year,folder_path,rep_video_path,size_bytes,reason,tokens,flagged_count,yts_title,yts_year,yts_url,yts_quality_available,yts_next_quality,magnet
Derailed,699.96,,/Volumes/Extreme SSD/Movies/Derailed,/Volumes/Extreme SSD/Movies/Derailed/Derailed[2005]Unrated.DvDrip[Eng]-aXXo.avi,733964288,tiny<700MiB;tokens,DVDRip,1,Derailed,2016,https://yts.mx/movies/derailed-2016,1080p.web|720p.web,1080p,magnet:?xt=urn:btih:9D9C093793A00D158DE6BAE4095B0AEE98152A72&dn=Derailed.1080p.web
Desperado,697.34,,/Volumes/Extreme SSD/Movies/Desperado,/Volumes/Extreme SSD/Movies/Desperado/Desperado.avi,731209554,tiny<700MiB,,1,Desperado,1995,https://yts.mx/movies/desperado-1995,1080p.bluray|2160p.bluray|720p.bluray,2160p,magnet:?xt=urn:btih:FC9F89B0A9BB6DEB90020F50D32938C056B36E06&dn=Desperado.2160p.bluray
Donnie Darko,699.09,,/Volumes/Extreme SSD/Movies/Donnie Darko,/Volumes/Extreme SSD/Movies/Donnie Darko/Donnie Darko.avi,733052928,tiny<700MiB,,1,Donnie Darko,2001,https://yts.mx/movies/donnie-darko-2001,1080p.bluray|2160p.bluray|720p.bluray,2160p,magnet:?xt=urn:btih:50100EC647702CEB0C248338D869815B4D64E568&dn=Donnie%20Darko.2160p.bluray
Dr.Strangelove,696.98,1964,/Volumes/Extreme SSD/Movies/Dr.Strangelove (1964),/Volumes/Extreme SSD/Movies/Dr.Strangelove (1964)/Dr.Strangelove.DVDRip.XviD.Parkyns.avi,730834944,tiny<700MiB;tokens,DVDRip|XviD,1,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,https://yts.mx/movies/dr-strangelove-or-how-i-learned-to-stop-worrying-and-love-the-bomb-1964,1080p.bluray|2160p.bluray|720p.bluray,2160p,magnet:?xt=urn:btih:285F800FE930281BCEE60BEFDF95EE3AD464C908&dn=Dr.%20Strangelove%20or%3A%20How%20I%20Learned%20to%20Stop%20Worrying%20and%20Love%20the%20Bomb.2160p.bluray
E T The Extra,699.97,,/Volumes/Extreme SSD/Movies/E.T. The Extra-Terrestrial,/Volumes/Extreme SSD/Movies/E.T. The Extra-Terrestrial/E.T. The Extra-Terrestrial.mp4,733968601,tiny<700MiB,,1,E.T. the Extra-Terrestrial,1982,https://yts.mx/movies/e-t-the-extra-terrestrial-1982,1080p.bluray|2160p.bluray|720p.bluray,2160p,magnet:?xt=urn:btih:C6D223919168779CAA2AB320BD352E9DB96ED6CF&dn=E.T.%20the%20Extra-Terrestrial.2160p.bluray
El Mariachi,698.12,1992,/Volumes/Extreme SSD/Movies/El Mariachi,/Volumes/Extreme SSD/Movies/El Mariachi/El Mariachi.1992.avi,732037120,tiny<700MiB,,1,El Mariachi,1992,https://yts.mx/movies/el-mariachi-1992,1080p.bluray|720p.bluray,1080p,magnet:?xt=urn:btih:583D8B9A46F38DE7DEB883F8E634409823FEE486&dn=El%20Mariachi.1080p.bluray
Endgame,699.83,,/Volumes/Extreme SSD/Movies/Endgame,/Volumes/Extreme SSD/Movies/Endgame/endgame.xvid-lpd.avi,733825024,tiny<700MiB;tokens,XviD,1,Endgame,2015,https://yts.mx/movies/endgame-2015,1080p.bluray|720p.bluray,1080p,magnet:?xt=urn:btih:B046BE78EF75B73F7E622F18E708F6CBD4FD16DD&dn=Endgame.1080p.bluray
Erin Brockovich,0.00,2000,/Volumes/Extreme SSD/Movies/Erin Brockovich (2000),/Volumes/Extreme SSD/Movies/Erin Brockovich (2000)/._Erin.Brockovich.2000.BRRip.YIFY.mkv,4096,tiny<700MiB,,2,Erin Brockovich,2000,https://yts.mx/movies/erin-brockovich-2000,1080p.bluray|2160p.web|720p.bluray,2160p,magnet:?xt=urn:btih:CC788E657A6F1BE13C9676D947A8CDD81ED728A6&dn=Erin%20Brockovich.2160p.web
Failure To Launch,699.97,2006,/Volumes/Extreme SSD/Movies/Failure To Launch (2006),/Volumes/Extreme SSD/Movies/Failure To Launch (2006)/Failure.To.Launch[2006]DvDrip.AC3[Eng]-aXXo.avi,733968384,tiny<700MiB;tokens,DVDRip,1,Failure to Launch,2006,https://yts.mx/movies/failure-to-launch-2006,1080p.bluray|720p.bluray,1080p,magnet:?xt=urn:btih:79796B9E7BC8E571957B17006E8B4A5817244A66&dn=Failure%20to%20Launch.1080p.bluray
Fallen,699.97,1998,/Volumes/Extreme SSD/Movies/Fallen (1998),/Volumes/Extreme SSD/Movies/Fallen (1998)/Fallen.(1998).avi,733976164,tiny<700MiB,,1,Fallen,1998,https://yts.mx/movies/fallen-1998,1080p.bluray|720p.bluray,1080p,magnet:?xt=urn:btih:24FEF6BD00D1BE6350CE8BB8374E7567D0676D27&dn=Fallen.1080p.bluray
Fear and Loathing in Las Vegas,694.28,,/Volumes/Extreme SSD/Movies/Fear and Loathing in Las Vegas,/Volumes/Extreme SSD/Movies/Fear and Loathing in Las Vegas/[DivX] - Fear_and_Loathing_in_Las Vegas.avi,728008704,tiny<700MiB;tokens,DivX,1,Fear and Loathing in Las Vegas,1998,https://yts.mx/movies/fear-and-loathing-in-las-vegas-1998,1080p.bluray|2160p.bluray|720p.bluray,2160p,magnet:?xt=urn:btih:086A0A084AF7B149E66F7E4914C6C8A946A8A2B5&dn=Fear%20and%20Loathing%20in%20Las%20Vegas.2160p.bluray
Flushed Away,699.71,,/Volumes/Extreme SSD/Movies/Flushed Away,/Volumes/Extreme SSD/Movies/Flushed Away/Flushed.Away[2006]DvDrip.AC3[Eng]-aXXo.avi,733693952,tiny<700MiB;tokens,DVDRip,1,Flushed Away,2006,https://yts.mx/movies/flushed-away-2006,1080p.bluray|1080p.web|720p.bluray|720p.web,1080p,magnet:?xt=urn:btih:A708D025FC0502B37A43C6CEE1AB50061280FB29&dn=Flushed%20Away.1080p.bluray
Following,259.36,1998,/Volumes/Extreme SSD/Movies/Following (1998),/Volumes/Extreme SSD/Movies/Following (1998)/Following [1998]-480p-BRrip-x264-StyLishSaLH (StyLish Release).mp4,271956095,tiny<700MiB;tokens,480p,1,Following,1998,https://yts.mx/movies/following-1998,1080p.bluray|720p.bluray,1080p,magnet:?xt=urn:btih:73D5CB09AE24A3A205F8E92FD90028406B77323E&dn=Following.1080p.bluray
For A Few Dollars More,634.51,,/Volumes/Extreme SSD/Movies/For A Few Dollars More,/Volumes/Extreme SSD/Movies/For A Few Dollars More/For A Few Dollars More.avi,665327520,tiny<700MiB,,1,For a Few Dollars More,1965,https://yts.mx/movies/for-a-few-dollars-more-1965,1080p.bluray|2160p.bluray|720p.bluray,2160p,magnet:?xt=urn:btih:67FE9A1D5DE98BA38FE63948D2D87B5F67971EE9&dn=For%20a%20Few%20Dollars%20More.2160p.bluray
Forrest Gump,699.74,,/Volumes/Extreme SSD/Movies/Forrest Gump,/Volumes/Extreme SSD/Movies/Forrest Gump/Forrest Gump.avi,733734912,tiny<700MiB,,1,Forrest Gump,1994,https://yts.mx/movies/forrest-gump-1994,1080p.bluray|2160p.bluray|720p.bluray,2160p,magnet:?xt=urn:btih:08C79EBF2CA84CBF00B217E8C93EB001A9BC6099&dn=Forrest%20Gump.2160p.bluray
Fun with Dick and Jane,699.89,,/Volumes/Extreme SSD/Movies/Fun with Dick and Jane,/Volumes/Extreme SSD/Movies/Fun with Dick and Jane/Fun.with.Dick.and.Jane[2005]DvDrip.AC3[Eng]-aXXo.avi,733888512,tiny<700MiB;tokens,DVDRip,1,Fun with Dick and Jane,2005,https://yts.mx/movies/fun-with-dick-and-jane-2005,1080p.bluray|720p.bluray,1080p,magnet:?xt=urn:btih:8F9A0952DDBEBFC8122DF376A188F0404E8E5BAC&dn=Fun%20with%20Dick%20and%20Jane.1080p.bluray
Garfield - A Tail of Two Kitties,699.75,,/Volumes/Extreme SSD/Movies/Garfield - A Tail of Two Kitties,/Volumes/Extreme SSD/Movies/Garfield - A Tail of Two Kitties/Garfield-A.Tail.Of.Two.Kitties[2006]DvDrip.AC3[Eng]-aXXo.avi,733739008,tiny<700MiB;tokens,DVDRip,1,Garfield: A Tail of Two Kitties,2006,https://yts.mx/movies/garfield-a-tail-of-two-kitties-2006,1080p.bluray|720p.bluray,1080p,magnet:?xt=urn:btih:5C5001414D9FE58275A290E8080A56F83B929444&dn=Garfield%3A%20A%20Tail%20of%20Two%20Kitties.1080p.bluray
Ghost,700.00,,/Volumes/Extreme SSD/Movies/Ghost,/Volumes/Extreme SSD/Movies/Ghost/Ghost dvd rip Xvid.Rets.avi,734001152,tiny<700MiB;tokens,TS|XviD,1,Ghost Game,2024,https://yts.mx/movies/ghost-game-2024,1080p.bluray|1080p.web|720p.bluray|720p.web,1080p,magnet:?xt=urn:btih:CFEF53F1F9BFF170544B590C0CE1F214D0DD6B97&dn=Ghost%20Game.1080p.bluray
Girl Interrupted,645.67,,/Volumes/Extreme SSD/Movies/Girl Interrupted,/Volumes/Extreme SSD/Movies/Girl Interrupted/Girl Interrupted.avi,677030416,tiny<700MiB,,1,"Girl, Interrupted",1999,https://yts.mx/movies/girl-interrupted-1999,1080p.bluray|1080p.web|720p.bluray|720p.web,1080p,magnet:?xt=urn:btih:AA7A129954158478453056633FC9DB645BEE35CA&dn=Girl%2C%20Interrupted.1080p.bluray
Glengarry Glen Ross,648.21,,/Volumes/Extreme SSD/Movies/Glengarry Glen Ross,/Volumes/Extreme SSD/Movies/Glengarry Glen Ross/Glengarry Glen Ross.avi,679702108,tiny<700MiB,,1,Glengarry Glen Ross,1992,https://yts.mx/movies/glengarry-glen-ross-1992,1080p.bluray|720p.bluray,1080p,magnet:?xt=urn:btih:4DA6DCE9BED4E9C1D98D5A059022E5B96CE1ED3B&dn=Glengarry%20Glen%20Ross.1080p.bluray
Glory,698.55,1989,/Volumes/Extreme SSD/Movies/Glory (1989),/Volumes/Extreme SSD/Movies/Glory (1989)/Glory_(1989).CD2.avi,732487680,tiny<700MiB,,2,Glory,1989,https://yts.mx/movies/glory-1989,1080p.bluray|2160p.bluray|720p.bluray,2160p,magnet:?xt=urn:btih:E679C4D79A419CD6620CB8F0A3C7DD04B49FC2DB&dn=Glory.2160p.bluray
Harold & Kumar Go to White Castle,699.94,2004,/Volumes/Extreme SSD/Movies/Harold & Kumar Go to White Castle,/Volumes/Extreme SSD/Movies/Harold & Kumar Go to White Castle/Harold & Kumar Go to White Castle (2004) [ENG] [DVDrip].avi,733935616,tiny<700MiB;tokens,DVDRip,1,Harold & Kumar Go to White Castle,2004,https://yts.mx/movies/harold-kumar-go-to-white-castle-2004,1080p.bluray|720p.bluray,1080p,magnet:?xt=urn:btih:CAF38665E0B219B1D5BE6A5082EDA5091D425634&dn=Harold%20%26%20Kumar%20Go%20to%20White%20Castle.1080p.bluray
Haywire,698.59,,/Volumes/Extreme SSD/Movies/Haywire[2011]BRRip XviD-ETRG,/Volumes/Extreme SSD/Movies/Haywire[2011]BRRip XviD-ETRG/Haywire[2011]BRRip XviD-ETRG.avi,732519932,tiny<700MiB;tokens,XviD,1,Haywire,2023,https://yts.mx/movies/haywire-2023,1080p.web|720p.web,1080p,magnet:?xt=urn:btih:083AC5B9AC037BF5648E66609A11022A65C3D626&dn=Haywire.1080p.web
